,Province_e,geometry,index_right,Region_2,
4,PHRA NAKHON SI AYUTTHAYA,"[[100.2129,14.111092],[100.82323,14.111092],[100.82323,14.673195],[100.2129,14.673195],[100.2129,14.111092]]",1,Central & East,"[[100.2129,14.111092],[100.82323,14.111092],[100.82323,14.673195],[100.2129,14.673195],[100.2129,14.111092]],[[100.191466,14.439],[100.508217,14.439],[100.508217,14.802463],[100.191466,14.802463],[100.191466,14.439]],[[100.419968,14.646844],[101.404429,14.646844],[101.404429,15.756129],[100.419968,15.756129],[100.419968,14.646844]],[[100.181881,14.721082],[100.488093,14.721082],[100.488093,15.120523],[100.181881,15.120523],[100.181881,14.721082]],[[100.574886,14.242746],[101.454648,14.242746],[101.454648,15.07456],[100.574886,15.07456],[100.574886,14.242746]],[[100.646806,12.507871],[101.71972,12.507871],[101.71972,13.589319],[100.646806,13.589319],[100.646806,12.507871]],[[100.984449,12.512761],[101.831055,12.512761],[101.831055,13.163557],[100.984449,13.163557],[100.984449,12.512761]],[[101.684718,12.297151],[102.536426,12.297151],[102.536426,13.336181],[101.684718,13.336181],[101.684718,12.297151]],[[102.235491,11.56173],[102.915545,11.56173],[102.915545,12.757239],[102.235491,12.757239],[102.235491,11.56173]],[[100.848391,13.17847],[101.990036,13.17847],[101.990036,13.9767],[100.848391,13.9767],[100.848391,13.17847]],[[101.137337,13.582315],[102.126278,13.582315],[102.126278,14.462526],[101.137337,14.462526],[101.137337,13.582315]],[[100.9135,13.961278],[101.505484,13.961278],[101.505484,14.512799],[100.9135,14.512799],[100.9135,13.961278]],[[101.87339,13.236708],[102.941738,13.236708],[102.941738,14.196617],[101.87339,14.196617],[101.87339,13.236708]],[[98.181068,13.725532],[99.879323,13.725532],[99.879323,15.66074],[98.181068,15.66074],[98.181068,13.725532]],[[99.27596200000001,14.064243],[100.282497,14.064243],[100.282497,15.080905],[99.27596200000001,15.080905],[99.27596200000001,14.064243]],[[99.81410200000001,13.649253],[100.337486,13.649253],[100.337486,14.179214],[99.81410200000001,14.179214],[99.81410200000001,13.649253]],[[99.162836,13.148794],[100.068638,13.148794],[100.068638,13.961235],[99.162836,13.961235],[99.162836,13.148794]],[[99.852154,13.242045],[100.078782,13.242045],[100.078782,13.516265],[99.852154,13.516265],[99.852154,13.242045]],[100.02668,13.425205],[100.420092,13.425205],[100.420092,13.72481],[100.02668,13.72481],[100.02668,13.425205]],"
5,ANG THONG,"[[100.191466,14.439],[100.508217,14.439],[100.508217,14.802463],[100.191466,14.802463],[100.191466,14.439]]",1,Central & East,
6,LOP BURI,"[[100.419968,14.646844],[101.404429,14.646844],[101.404429,15.756129],[100.419968,15.756129],[100.419968,14.646844]]",1,Central & East,
7,SING BURI,"[[100.181881,14.721082],[100.488093,14.721082],[100.488093,15.120523],[100.181881,15.120523],[100.181881,14.721082]]",1,Central & East,
9,SARABURI,"[[100.574886,14.242746],[101.454648,14.242746],[101.454648,15.07456],[100.574886,15.07456],[100.574886,14.242746]]",1,Central & East,
10,CHON BURI,"[[100.646806,12.507871],[101.71972,12.507871],[101.71972,13.589319],[100.646806,13.589319],[100.646806,12.507871]]",1,Central & East,
11,RAYONG,"[[100.984449,12.512761],[101.831055,12.512761],[101.831055,13.163557],[100.984449,13.163557],[100.984449,12.512761]]",1,Central & East,
12,CHANTHABURI,"[[101.684718,12.297151],[102.536426,12.297151],[102.536426,13.336181],[101.684718,13.336181],[101.684718,12.297151]]",1,Central & East,
13,TRAT,"[[102.235491,11.56173],[102.915545,11.56173],[102.915545,12.757239],[102.235491,12.757239],[102.235491,11.56173]]",1,Central & East,
14,CHACHOENGSAO,"[[100.848391,13.17847],[101.990036,13.17847],[101.990036,13.9767],[100.848391,13.9767],[100.848391,13.17847]]",1,Central & East,
15,PRACHIN BURI,"[[101.137337,13.582315],[102.126278,13.582315],[102.126278,14.462526],[101.137337,14.462526],[101.137337,13.582315]]",1,Central & East,
16,NAKHON NAYOK,"[[100.9135,13.961278],[101.505484,13.961278],[101.505484,14.512799],[100.9135,14.512799],[100.9135,13.961278]]",1,Central & East,
17,SA KAEO,"[[101.87339,13.236708],[102.941738,13.236708],[102.941738,14.196617],[101.87339,14.196617],[101.87339,13.236708]]",1,Central & East,
56,KANCHANABURI,"[[98.181068,13.725532],[99.879323,13.725532],[99.879323,15.66074],[98.181068,15.66074],[98.181068,13.725532]]",1,Central & East,
57,SUPHAN BURI,"[[99.27596200000001,14.064243],[100.282497,14.064243],[100.282497,15.080905],[99.27596200000001,15.080905],[99.27596200000001,14.064243]]",1,Central & East,
58,NAKHON PATHOM,"[[99.81410200000001,13.649253],[100.337486,13.649253],[100.337486,14.179214],[99.81410200000001,14.179214],[99.81410200000001,13.649253]]",1,Central & East,
55,RATCHABURI,"[[99.162836,13.148794],[100.068638,13.148794],[100.068638,13.961235],[99.162836,13.961235],[99.162836,13.148794]]",4,South & West,
60,SAMUT SONGKHRAM,"[[99.852154,13.242045],[100.078782,13.242045],[100.078782,13.516265],[99.852154,13.516265],[99.852154,13.242045]]",4,South & West,
59,SAMUT SAKHON,"[100.02668,13.425205],[100.420092,13.425205],[100.420092,13.72481],[100.02668,13.72481],[100.02668,13.425205]]",4,South & West,
